datetime,price,temperature,hour,day_of_week,month,year,lag_24,lag_48,lag_168
2015-01-08 00:00:00,19.35,0.178,0,3,1,2015,24.65,30.57,22.34
2015-01-08 01:00:00,16.11,0.456,1,3,1,2015,24.68,30.25,22.34
2015-01-08 02:00:00,14.93,0.723,2,3,1,2015,25.06,30.29,22.34
2015-01-08 03:00:00,15.0,0.947,3,3,1,2015,26.1,30.63,22.34
2015-01-08 04:00:00,19.04,1.178,4,3,1,2015,26.95,29.64,22.34
2015-01-08 05:00:00,26.17,1.459,5,3,1,2015,31.43,29.67,22.34
2015-01-08 06:00:00,38.34,1.728,6,3,1,2015,45.98,38.82,22.34
2015-01-08 07:00:00,37.7,2.015,7,3,1,2015,47.91,40.76,22.34
2015-01-08 08:00:00,32.99,2.469,8,3,1,2015,48.91,40.02,22.34
2015-01-08 09:00:00,31.95,2.966,9,3,1,2015,50.0,33.99,22.34
2015-01-08 10:00:00,33.59,3.445,10,3,1,2015,51.22,31.22,22.34
2015-01-08 11:00:00,34.37,3.833,11,3,1,2015,50.15,30.06,22.34
2015-01-08 12:00:00,35.08,4.063,12,3,1,2015,51.46,29.99,22.34
2015-01-08 13:00:00,34.45,4.123,13,3,1,2015,50.88,30.73,22.34
2015-01-08 14:00:00,38.12,4.066,14,3,1,2015,48.0,37.38,22.34
2015-01-08 15:00:00,32.47,3.956,15,3,1,2015,47.14,40.32,22.34
2015-01-08 16:00:00,36.49,3.876,16,3,1,2015,51.07,45.96,22.34
2015-01-08 17:00:00,31.82,3.722,17,3,1,2015,47.42,45.71,22.34
2015-01-08 18:00:00,32.93,3.563,18,3,1,2015,44.83,39.57,22.34
2015-01-08 19:00:00,29.44,3.499,19,3,1,2015,33.86,32.92,22.34
2015-01-08 20:00:00,28.62,3.368,20,3,1,2015,27.42,29.15,22.34
2015-01-08 21:00:00,26.71,3.208,21,3,1,2015,27.02,28.46,22.34
2015-01-08 22:00:00,15.93,3.109,22,3,1,2015,22.11,26.97,22.34
2015-01-08 23:00:00,11.55,3.047,23,3,1,2015,21.92,24.97,22.34
2015-01-09 00:00:00,13.47,3.062,0,4,1,2015,19.35,24.65,22.34
2015-01-09 01:00:00,11.23,3.129,1,4,1,2015,16.11,24.68,22.34
2015-01-09 02:00:00,9.37,3.223,2,4,1,2015,14.93,25.06,22.34
2015-01-09 03:00:00,10.33,3.442,3,4,1,2015,15.0,26.1,22.34
2015-01-09 04:00:00,10.57,3.614,4,4,1,2015,19.04,26.95,22.34
2015-01-09 05:00:00,20.08,3.709,5,4,1,2015,26.17,31.43,22.34
2015-01-09 06:00:00,34.24,3.896,6,4,1,2015,38.34,45.98,22.34
2015-01-09 07:00:00,29.99,4.197,7,4,1,2015,37.7,47.91,22.34
2015-01-09 08:00:00,28.33,4.688,8,4,1,2015,32.99,48.91,22.34
2015-01-09 09:00:00,28.51,5.253,9,4,1,2015,31.95,50.0,22.34
2015-01-09 10:00:00,31.69,5.86,10,4,1,2015,33.59,51.22,22.34
2015-01-09 11:00:00,31.11,6.413,11,4,1,2015,34.37,50.15,22.34
2015-01-09 12:00:00,29.95,6.835,12,4,1,2015,35.08,51.46,22.34
2015-01-09 13:00:00,29.17,7.089,13,4,1,2015,34.45,50.88,22.34
2015-01-09 14:00:00,29.47,7.191,14,4,1,2015,38.12,48.0,22.34
2015-01-09 15:00:00,30.09,7.204,15,4,1,2015,32.47,47.14,22.34
2015-01-09 16:00:00,33.47,7.213,16,4,1,2015,36.49,51.07,22.34
2015-01-09 17:00:00,32.78,7.178,17,4,1,2015,31.82,47.42,22.34
2015-01-09 18:00:00,33.47,7.052,18,4,1,2015,32.93,44.83,22.34
2015-01-09 19:00:00,30.11,6.948,19,4,1,2015,29.44,33.86,22.34
2015-01-09 20:00:00,26.69,6.965,20,4,1,2015,28.62,27.42,22.34
2015-01-09 21:00:00,21.64,7.167,21,4,1,2015,26.71,27.02,22.34
2015-01-09 22:00:00,14.72,7.576,22,4,1,2015,15.93,22.11,22.34
2015-01-09 23:00:00,17.1,8.062,23,4,1,2015,11.55,21.92,22.34
2015-01-10 00:00:00,12.93,8.532,0,5,1,2015,13.47,19.35,22.34
2015-01-10 01:00:00,13.7,8.93,1,5,1,2015,11.23,16.11,22.34
2015-01-10 02:00:00,11.01,9.248,2,5,1,2015,9.37,14.93,22.34
2015-01-10 03:00:00,9.08,9.583,3,5,1,2015,10.33,15.0,22.34
2015-01-10 04:00:00,9.28,9.868,4,5,1,2015,10.57,19.04,22.34
2015-01-10 05:00:00,7.19,10.077,5,5,1,2015,20.08,26.17,22.34
2015-01-10 06:00:00,9.31,10.258,6,5,1,2015,34.24,38.34,22.34
2015-01-10 07:00:00,11.35,10.352,7,5,1,2015,29.99,37.7,22.34
