datetime,price,temperature
2015-01-01 00:00:00,22.34,-0.981
2015-01-01 01:00:00,22.34,-1.035
2015-01-01 02:00:00,22.34,-1.109
2015-01-01 03:00:00,22.34,-1.166
2015-01-01 04:00:00,22.34,-1.226
2015-01-01 05:00:00,22.34,-1.305
2015-01-01 06:00:00,22.34,-1.478
2015-01-01 07:00:00,22.34,-1.692
2015-01-01 08:00:00,22.34,-1.046
2015-01-01 09:00:00,22.34,0.072
2015-01-01 10:00:00,22.34,0.866
2015-01-01 11:00:00,22.34,1.493
2015-01-01 12:00:00,22.34,1.818
2015-01-01 13:00:00,22.34,1.726
2015-01-01 14:00:00,22.34,1.103
2015-01-01 15:00:00,22.34,0.18
2015-01-01 16:00:00,22.34,-0.154
2015-01-01 17:00:00,22.34,-0.336
2015-01-01 18:00:00,22.34,-0.41
2015-01-01 19:00:00,22.34,-0.451
2015-01-01 20:00:00,22.34,-0.493
2015-01-01 21:00:00,22.34,-0.505
2015-01-01 22:00:00,22.34,-0.481
2015-01-01 23:00:00,22.34,-0.493
2015-01-02 00:00:00,22.34,-0.49
2015-01-02 01:00:00,22.34,-0.432
2015-01-02 02:00:00,22.34,-0.326
2015-01-02 03:00:00,22.34,-0.17
2015-01-02 04:00:00,22.34,-0.016
2015-01-02 05:00:00,22.34,0.198
2015-01-02 06:00:00,22.34,0.486
2015-01-02 07:00:00,22.34,0.893
2015-01-02 08:00:00,22.34,1.577
2015-01-02 09:00:00,22.34,2.327
2015-01-02 10:00:00,22.34,3.027
2015-01-02 11:00:00,22.34,3.517
2015-01-02 12:00:00,22.34,3.729
2015-01-02 13:00:00,22.34,3.646
2015-01-02 14:00:00,22.34,3.205
2015-01-02 15:00:00,22.34,2.656
2015-01-02 16:00:00,22.34,2.39
2015-01-02 17:00:00,22.34,2.252
2015-01-02 18:00:00,22.34,2.089
2015-01-02 19:00:00,22.34,1.936
2015-01-02 20:00:00,22.34,1.806
2015-01-02 21:00:00,22.34,1.66
2015-01-02 22:00:00,22.34,1.549
2015-01-02 23:00:00,22.34,1.37
2015-01-03 00:00:00,22.34,1.169
2015-01-03 01:00:00,22.34,1.027
2015-01-03 02:00:00,22.34,0.857
2015-01-03 03:00:00,22.34,0.633
2015-01-03 04:00:00,22.34,0.412
2015-01-03 05:00:00,22.34,0.275
2015-01-03 06:00:00,22.34,0.174
2015-01-03 07:00:00,22.34,0.168
2015-01-03 08:00:00,22.34,0.565
2015-01-03 09:00:00,22.34,1.077
2015-01-03 10:00:00,22.34,1.422
2015-01-03 11:00:00,22.34,1.595
2015-01-03 12:00:00,22.34,1.733
2015-01-03 13:00:00,22.34,1.72
2015-01-03 14:00:00,22.34,1.395
2015-01-03 15:00:00,22.34,0.871
2015-01-03 16:00:00,22.34,0.766
2015-01-03 17:00:00,22.34,0.746
2015-01-03 18:00:00,22.34,0.844
2015-01-03 19:00:00,22.34,0.817
2015-01-03 20:00:00,22.34,0.67
2015-01-03 21:00:00,22.34,0.677
2015-01-03 22:00:00,22.34,0.522
2015-01-03 23:00:00,22.34,0.3
2015-01-04 00:00:00,22.34,0.213
2015-01-04 01:00:00,22.34,0.152
2015-01-04 02:00:00,22.34,0.107
2015-01-04 03:00:00,22.34,0.058
2015-01-04 04:00:00,22.34,0.029
2015-01-04 05:00:00,22.34,0.002
2015-01-04 06:00:00,22.34,-0.04
2015-01-04 07:00:00,22.34,-0.004
2015-01-04 08:00:00,22.34,0.478
2015-01-04 09:00:00,22.34,1.207
2015-01-04 10:00:00,22.34,1.89
2015-01-04 11:00:00,22.34,2.43
2015-01-04 12:00:00,22.34,2.735
2015-01-04 13:00:00,22.34,2.68
2015-01-04 14:00:00,22.34,1.999
2015-01-04 15:00:00,22.34,0.676
2015-01-04 16:00:00,22.34,0.094
2015-01-04 17:00:00,22.34,-0.144
2015-01-04 18:00:00,22.34,-0.312
2015-01-04 19:00:00,22.34,-0.382
2015-01-04 20:00:00,22.34,-0.403
2015-01-04 21:00:00,22.34,-0.446
2015-01-04 22:00:00,22.34,-0.519
2015-01-04 23:00:00,22.34,-0.653
2015-01-05 00:00:00,17.93,-0.795
2015-01-05 01:00:00,15.17,-0.937
2015-01-05 02:00:00,16.38,-1.117
2015-01-05 03:00:00,17.38,-1.338
2015-01-05 04:00:00,16.38,-1.586
2015-01-05 05:00:00,26.61,-1.881
2015-01-05 06:00:00,37.63,-2.12
2015-01-05 07:00:00,39.09,-2.266
2015-01-05 08:00:00,41.51,-1.608
2015-01-05 09:00:00,40.46,-0.41
2015-01-05 10:00:00,40.97,0.616
2015-01-05 11:00:00,40.72,1.372
2015-01-05 12:00:00,41.92,1.775
2015-01-05 13:00:00,42.0,1.813
2015-01-05 14:00:00,43.1,0.991
2015-01-05 15:00:00,46.7,-0.412
2015-01-05 16:00:00,56.78,-0.973
2015-01-05 17:00:00,58.84,-1.229
2015-01-05 18:00:00,49.23,-1.419
2015-01-05 19:00:00,44.32,-1.552
2015-01-05 20:00:00,40.0,-1.664
2015-01-05 21:00:00,35.08,-1.798
2015-01-05 22:00:00,30.03,-1.973
2015-01-05 23:00:00,30.02,-2.161
2015-01-06 00:00:00,30.57,-2.337
2015-01-06 01:00:00,30.25,-2.482
2015-01-06 02:00:00,30.29,-2.628
2015-01-06 03:00:00,30.63,-2.785
2015-01-06 04:00:00,29.64,-2.976
2015-01-06 05:00:00,29.67,-3.156
2015-01-06 06:00:00,38.82,-3.336
2015-01-06 07:00:00,40.76,-3.401
2015-01-06 08:00:00,40.02,-2.299
2015-01-06 09:00:00,33.99,-0.708
2015-01-06 10:00:00,31.22,0.495
2015-01-06 11:00:00,30.06,1.322
2015-01-06 12:00:00,29.99,1.714
2015-01-06 13:00:00,30.73,1.548
2015-01-06 14:00:00,37.38,0.361
2015-01-06 15:00:00,40.32,-1.189
2015-01-06 16:00:00,45.96,-1.708
2015-01-06 17:00:00,45.71,-1.868
2015-01-06 18:00:00,39.57,-1.931
2015-01-06 19:00:00,32.92,-1.947
2015-01-06 20:00:00,29.15,-1.923
2015-01-06 21:00:00,28.46,-1.881
2015-01-06 22:00:00,26.97,-1.792
2015-01-06 23:00:00,24.97,-1.657
2015-01-07 00:00:00,24.65,-1.433
2015-01-07 01:00:00,24.68,-1.172
2015-01-07 02:00:00,25.06,-0.899
2015-01-07 03:00:00,26.1,-0.633
2015-01-07 04:00:00,26.95,-0.42
2015-01-07 05:00:00,31.43,-0.203
2015-01-07 06:00:00,45.98,-0.043
2015-01-07 07:00:00,47.91,0.156
2015-01-07 08:00:00,48.91,0.778
2015-01-07 09:00:00,50.0,1.368
2015-01-07 10:00:00,51.22,1.87
2015-01-07 11:00:00,50.15,2.32
2015-01-07 12:00:00,51.46,2.531
2015-01-07 13:00:00,50.88,2.422
2015-01-07 14:00:00,48.0,1.771
2015-01-07 15:00:00,47.14,0.761
2015-01-07 16:00:00,51.07,0.387
2015-01-07 17:00:00,47.42,0.204
2015-01-07 18:00:00,44.83,0.022
2015-01-07 19:00:00,33.86,-0.097
2015-01-07 20:00:00,27.42,-0.196
2015-01-07 21:00:00,27.02,-0.253
2015-01-07 22:00:00,22.11,-0.219
2015-01-07 23:00:00,21.92,-0.067
2015-01-08 00:00:00,19.35,0.178
2015-01-08 01:00:00,16.11,0.456
2015-01-08 02:00:00,14.93,0.723
2015-01-08 03:00:00,15.0,0.947
2015-01-08 04:00:00,19.04,1.178
2015-01-08 05:00:00,26.17,1.459
2015-01-08 06:00:00,38.34,1.728
2015-01-08 07:00:00,37.7,2.015
2015-01-08 08:00:00,32.99,2.469
2015-01-08 09:00:00,31.95,2.966
2015-01-08 10:00:00,33.59,3.445
2015-01-08 11:00:00,34.37,3.833
2015-01-08 12:00:00,35.08,4.063
