actual_price,predicted_price
-15.7,3.8745189
0.6,12.229119
30.4,46.556202
45.93,58.378746
49.11,63.024105
46.32,63.252983
45.5,64.501114
44.98,64.36555
47.44,64.156166
51.2,62.854733
54.22,53.166756
57.72,63.058147
61.57,54.902924
66.08,64.534546
65.09,65.0102
60.11,49.665527
56.4,47.350124
56.21,43.593945
50.7,40.728695
44.45,38.26255
45.61,33.52123
45.32,29.71036
43.99,31.791391
44.12,30.95277
45.85,32.084316
50.16,31.949505
55.63,39.089077
63.44,53.26343
60.77,51.367596
58.76,41.284935
61.96,41.826694
63.02,47.95611
63.84,47.73939
64.83,49.448788
66.67,49.800743
68.06,52.407715
69.77,53.097507
68.97,52.373222
68.97,49.332294
67.32,49.767876
61.21,51.2662
56.27,51.483807
52.18,40.098145
50.9,36.563625
48.66,31.0897
47.65,31.798103
46.92,31.533066
46.29,31.978796
46.28,36.8766
49.3,41.17106
55.26,48.591156
57.78,49.378178
55.76,54.99344
55.18,49.075657
54.59,49.77984
53.15,51.281387
52.38,53.68021
51.77,56.470364
51.47,57.01281
52.04,60.927135
54.24,60.084633
53.17,59.70621
51.11,59.33929
45.99,51.090023
43.23,41.83045
41.23,41.142838
31.92,35.46275
28.54,35.867443
26.0,42.081516
24.45,42.37612
21.62,36.5409
16.09,35.860493
20.13,33.753704
21.01,35.504173
27.79,39.820156
35.56,42.670406
41.73,44.627487
46.45,44.309856
49.89,44.410236
51.18,45.76273
50.87,44.39628
50.81,40.388622
51.46,39.284782
54.56,39.145103
57.6,41.52187
61.18,41.928345
59.31,37.60113
54.0,33.09051
51.74,31.781065
51.08,33.158634
48.18,25.11004
47.06,20.203249
44.44,12.093433
43.86,10.177165
42.51,7.2211995
40.58,6.048546
41.58,4.351328
42.1,8.5196085
43.82,17.42451
46.72,25.279741
51.7,24.603514
55.18,30.43102
58.36,32.62184
58.71,34.3944
55.29,33.501816
52.28,32.89165
51.6,33.479218
54.69,38.877827
61.92,46.13876
66.34,49.388596
64.58,48.598312
62.39,51.250385
55.3,48.057915
55.57,47.21663
50.81,43.994194
45.59,37.081814
45.57,39.053154
45.42,33.759857
43.28,28.495512
44.24,31.206335
46.03,42.171677
56.23,50.013626
68.35,57.895344
73.72,59.22065
74.94,61.42538
74.38,60.343693
73.29,51.279694
71.44,40.13659
69.64,49.57239
67.12,48.107204
62.48,40.16475
62.63,49.22456
63.84,47.22292
60.35,59.363945
55.25,57.013382
50.98,32.092106
42.74,18.299221
35.25,14.031078
22.06,23.524107
14.05,23.862593
13.74,33.976738
5.99,34.582905
8.66,35.5361
12.47,35.15937
15.44,33.57643
32.16,24.723516
43.05,31.680735
45.04,46.961884
43.24,36.79521
41.76,45.488842
42.4,45.157608
40.38,40.656925
40.2,37.141106
39.84,19.172585
42.14,15.073423
37.66,28.963789
43.12,26.574368
43.17,24.830965
38.37,32.354385
38.32,24.572268
32.9,10.839386
28.4,7.0684204
21.12,0.66488373
17.85,21.166895
10.12,10.936694
7.46,5.114193
11.32,5.6551585
17.4,11.375172
26.14,14.972212
37.98,37.453934
47.46,36.88899
52.6,39.61427
51.41,39.725754
51.25,40.724438
48.16,37.757847
45.94,40.54796
45.91,41.607372
47.52,41.07777
50.61,42.69336
52.66,41.037205
55.61,47.522144
55.43,48.33364
54.59,45.565693
52.87,47.596684
50.52,41.81182
47.77,36.415012
45.44,32.55755
46.75,29.437765
47.8,31.741352
46.28,33.664314
47.62,31.904188
48.15,31.751316
