actual_price,predicted_price,fair_value_signal,position
-15.7,3.8745189,19.5745189,LONG
0.6,12.229119,11.629119000000001,LONG
30.4,46.556202,16.156202,LONG
45.93,58.378746,12.448746,LONG
49.11,63.024105,13.914105,LONG
46.32,63.252983,16.932983,LONG
45.5,64.501114,19.001114,LONG
44.98,64.36555,19.385550000000002,LONG
47.44,64.156166,16.716166,LONG
51.2,62.854733,11.654733,LONG
54.22,53.166756,-1.0532439999999994,HOLD
57.72,63.058147,5.338146999999999,LONG
61.57,54.902924,-6.667076000000002,SHORT
66.08,64.534546,-1.5454539999999923,HOLD
65.09,65.0102,-0.07980000000000587,HOLD
60.11,49.665527,-10.444473000000002,SHORT
56.4,47.350124,-9.049875999999998,SHORT
56.21,43.593945,-12.616055000000003,SHORT
50.7,40.728695,-9.971305000000001,SHORT
44.45,38.26255,-6.1874500000000054,SHORT
45.61,33.52123,-12.088769999999997,SHORT
45.32,29.71036,-15.609639999999999,SHORT
43.99,31.791391,-12.198609000000001,SHORT
44.12,30.95277,-13.167229999999996,SHORT
45.85,32.084316,-13.765684,SHORT
50.16,31.949505,-18.210494999999998,SHORT
55.63,39.089077,-16.540923,SHORT
63.44,53.26343,-10.176569999999998,SHORT
60.77,51.367596,-9.402404000000004,SHORT
58.76,41.284935,-17.475065,SHORT
61.96,41.826694,-20.133305999999997,SHORT
63.02,47.95611,-15.06389,SHORT
63.84,47.73939,-16.100610000000003,SHORT
64.83,49.448788,-15.381211999999998,SHORT
66.67,49.800743,-16.869257000000005,SHORT
68.06,52.407715,-15.652285,SHORT
69.77,53.097507,-16.672492999999996,SHORT
68.97,52.373222,-16.596778,SHORT
68.97,49.332294,-19.637706,SHORT
67.32,49.767876,-17.552123999999992,SHORT
61.21,51.2662,-9.943800000000003,SHORT
56.27,51.483807,-4.786193000000004,HOLD
52.18,40.098145,-12.081854999999997,SHORT
50.9,36.563625,-14.336374999999997,SHORT
48.66,31.0897,-17.570299999999996,SHORT
47.65,31.798103,-15.851896999999997,SHORT
46.92,31.533066,-15.386934,SHORT
46.29,31.978796,-14.311204,SHORT
46.28,36.8766,-9.403399999999998,SHORT
49.3,41.17106,-8.12894,SHORT
55.26,48.591156,-6.668844,SHORT
57.78,49.378178,-8.401822000000003,SHORT
55.76,54.99344,-0.7665599999999984,HOLD
55.18,49.075657,-6.104343,SHORT
54.59,49.77984,-4.810160000000003,HOLD
53.15,51.281387,-1.8686129999999963,HOLD
52.38,53.68021,1.3002099999999999,HOLD
51.77,56.470364,4.700363999999993,HOLD
51.47,57.01281,5.542810000000003,LONG
52.04,60.927135,8.887135,LONG
54.24,60.084633,5.844632999999995,LONG
53.17,59.70621,6.536209999999997,LONG
51.11,59.33929,8.229289999999999,LONG
45.99,51.090023,5.100023,LONG
43.23,41.83045,-1.3995499999999979,HOLD
41.23,41.142838,-0.0871619999999993,HOLD
31.92,35.46275,3.542749999999998,HOLD
28.54,35.867443,7.327443000000002,LONG
26.0,42.081516,16.081516,LONG
24.45,42.37612,17.92612,LONG
21.62,36.5409,14.9209,LONG
16.09,35.860493,19.770493,LONG
20.13,33.753704,13.623704,LONG
21.01,35.504173,14.494173,LONG
27.79,39.820156,12.030155999999998,LONG
35.56,42.670406,7.110405999999998,LONG
41.73,44.627487,2.8974870000000053,HOLD
46.45,44.309856,-2.1401439999999994,HOLD
49.89,44.410236,-5.479764000000003,SHORT
51.18,45.76273,-5.417270000000002,SHORT
50.87,44.39628,-6.47372,SHORT
50.81,40.388622,-10.421378000000004,SHORT
51.46,39.284782,-12.175218000000001,SHORT
54.56,39.145103,-15.414897000000003,SHORT
57.6,41.52187,-16.07813,SHORT
61.18,41.928345,-19.251655,SHORT
59.31,37.60113,-21.708870000000005,SHORT
54.0,33.09051,-20.909489999999998,SHORT
51.74,31.781065,-19.958935,SHORT
51.08,33.158634,-17.921366,SHORT
48.18,25.11004,-23.06996,SHORT
47.06,20.203249,-26.856751000000003,SHORT
44.44,12.093433,-32.346567,SHORT
43.86,10.177165,-33.682835,SHORT
42.51,7.2211995,-35.2888005,SHORT
40.58,6.048546,-34.531454,SHORT
41.58,4.351328,-37.228671999999996,SHORT
42.1,8.5196085,-33.580391500000005,SHORT
43.82,17.42451,-26.39549,SHORT
46.72,25.279741,-21.440258999999998,SHORT
51.7,24.603514,-27.096486000000002,SHORT
55.18,30.43102,-24.74898,SHORT
58.36,32.62184,-25.73816,SHORT
58.71,34.3944,-24.315600000000003,SHORT
55.29,33.501816,-21.788184,SHORT
52.28,32.89165,-19.388350000000003,SHORT
51.6,33.479218,-18.120782,SHORT
54.69,38.877827,-15.812172999999994,SHORT
61.92,46.13876,-15.781240000000004,SHORT
66.34,49.388596,-16.951404000000004,SHORT
64.58,48.598312,-15.981687999999998,SHORT
62.39,51.250385,-11.139615,SHORT
55.3,48.057915,-7.242084999999996,SHORT
55.57,47.21663,-8.353369999999998,SHORT
50.81,43.994194,-6.815806000000002,SHORT
45.59,37.081814,-8.508186000000002,SHORT
45.57,39.053154,-6.516846000000001,SHORT
45.42,33.759857,-11.660143000000005,SHORT
43.28,28.495512,-14.784488,SHORT
44.24,31.206335,-13.033665000000003,SHORT
46.03,42.171677,-3.8583229999999986,HOLD
56.23,50.013626,-6.216373999999995,SHORT
68.35,57.895344,-10.454655999999993,SHORT
73.72,59.22065,-14.49935,SHORT
74.94,61.42538,-13.51462,SHORT
74.38,60.343693,-14.036306999999994,SHORT
73.29,51.279694,-22.010306000000007,SHORT
71.44,40.13659,-31.30341,SHORT
69.64,49.57239,-20.067610000000002,SHORT
67.12,48.107204,-19.012796,SHORT
62.48,40.16475,-22.31525,SHORT
62.63,49.22456,-13.405440000000006,SHORT
63.84,47.22292,-16.61708,SHORT
60.35,59.363945,-0.9860550000000003,HOLD
55.25,57.013382,1.763382,HOLD
50.98,32.092106,-18.887893999999996,SHORT
42.74,18.299221,-24.440779000000003,SHORT
35.25,14.031078,-21.218922,SHORT
22.06,23.524107,1.464107000000002,HOLD
14.05,23.862593,9.812593,LONG
13.74,33.976738,20.236737999999995,LONG
5.99,34.582905,28.592904999999995,LONG
8.66,35.5361,26.876099999999997,LONG
